"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,Location,NRC Region,Licensee,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),2007 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent),,,,,
"Monticello Nuclear Generating Plant, Unit 1",Monticello,05000263,"Monticello, MN (30 MI NW of Minneapolis,  MN)",3,Northern States Power Company - Minnesota,BWR-MARK 1,GE 3,BECH,BECH,6/19/67,1/9/81,6/30/71,11/8/06,9/8/30,1775,"AEC issued a provisional OL on 09/08/1970, allowing commercial operation. The NRC issued a full-term OL on 01/09/1981.",101%,69%,94%,83%,97%,84%,,89%,101%,92%,,,,,
"Nine Mile Point Nuclear Station, Unit 1",Nine Mile Point 1,05000220,"Scriba, NY (6 MI NE of Oswego,  NY)",1,"Nine Mile Point Nuclear Station, LLC",BWR-MARK 1,GE 2,NIAG,S&W,4/12/65,12/26/74,12/1/69,10/31/06,8/22/29,1850,"AEC issued a provisional OL on 08/22/1969, allowing commercial operation. The NRC issued a full-term OL on 12/26/1974.",87%,84%,97%,92%,98%,88%,,85%,92%,80%,,,,,
"Nine Mile Point Nuclear Station, Unit 2",Nine Mile Point 2,05000410,"Scriba, NY (6 MI NE of Oswego,  NY)",1,"Nine Mile Point Nuclear Station, LLC",BWR-MARK 2,GE 5,S&W,S&W,6/24/74,7/2/87,3/11/88,10/31/06,10/31/46,3988,,83%,95%,89%,99%,90%,92%,,100%,86%,96%,,,,,
"North Anna Power Station, Unit 1",North Anna 1,05000338,"Mineral (Louisa County), VA (40 MI NW of Richmond,  VA)",2,Virginia Electric & Power Co.,PWR-DRYSUB,WEST 3LP,S&W,S&W,2/19/71,4/1/78,6/6/78,3/20/03,4/1/38,2940,,89%,78%,86%,92%,101%,89%,,95%,91%,81%,,,,,
"North Anna Power Station, Unit 2",North Anna 2,05000339,"Mineral (Louisa County), VA (40 MI NW of Richmond,  VA)",2,Virginia Electric & Power Co.,PWR-DRYSUB,WEST 3LP,S&W,S&W,2/19/71,8/21/80,12/14/80,3/20/03,8/21/40,2940,,99%,76%,100%,100%,82%,85%,,87%,92%,90%,,,,,
"Oconee Nuclear Station, Unit 1",Oconee 1,05000269,"Seneca, SC (30 MI W of Greenville,  SC)",2,"Duke Energy Carolinas, LLC",PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/67,2/6/73,7/15/73,5/23/00,2/6/33,2568,,90%,79%,100%,85%,84%,99%,,91%,98%,71%,,,,,
"Oconee Nuclear Station, Unit 2",Oconee 2,05000270,"Seneca, SC (30 MI W of Greenville,  SC)",2,"Duke Energy Carolinas, LLC",PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/67,10/6/73,9/9/74,5/23/00,10/6/33,2568,,102%,93%,91%,103%,86%,91%,,90%,76%,102%,,,,,
"Oconee Nuclear Station, Unit 3",Oconee 3,05000287,"Seneca, SC (30 MI W of Greenville,  SC)",2,"Duke Energy Carolinas, LLC",PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/67,7/19/74,12/16/74,5/23/00,7/19/34,2568,,86%,103%,91%,94%,102%,87%,,98%,77%,85%,,,,,
"Oyster Creek Nuclear Generating Station, Unit 1",Oyster Creek,05000219,"Forked River, NJ (9 MI S of Toms River,  NJ)",1,"Exelon Generation Co., LLC",BWR-MARK 1,GE 2,B&R,B&R,12/15/64,7/2/91,12/1/69,4/8/09,4/9/29,1930,"AEC issued a provisional OL on 04/09/1969, allowing commercial operation. The NRC issued a full-term OL on 07/02/1991.",88%,98%,85%,92%,83%,94%,,99%,89%,97%,,,,,
Palisades Nuclear Plant,Palisades,05000255,"Covert, MI (5 MI S of South Haven,  MI)",3,"Entergy Nuclear Operations, Inc.",PWR-DRYAMB,CE,BECH,BECH,3/14/67,2/21/91,12/31/71,1/17/07,3/24/31,2565.4,"AEC issued a provisional OL on 003/24/1971, allowing commercial operation. The NRC issued a full-term OL on 02/21/1991.",74%,96%,92%,90%,99%,86%,,79%,92%,95%,,,,,
"Palo Verde Nuclear Generating Station, Unit 1",Palo Verde 1,05000528,"Wintersburg, AZ (50 MI W of Phoenix,  AZ)",4,Arizona Public Service Company,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/76,6/1/85,1/28/86,4/21/11,6/1/45,3990,,100%,83%,81%,101%,86%,77%,,63%,85%,97%,,,,,
"Palo Verde Nuclear Generating Station, Unit 2",Palo Verde 2,0'5000529,"Wintersburg, AZ (50 MI W of Phoenix,  AZ)",4,Arizona Public Service Company,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/76,4/24/86,9/19/86,4/21/11,4/24/46,3990,,90%,91%,101%,83%,74%,95%,,82%,92%,72%,,,,,
"Palo Verde Nuclear Generating Station, Unit 3",Palo Verde 3,05000530,"Wintersburg, AZ (50 MI W of Phoenix,  AZ)",4,Arizona Public Service Company,PWR-DRYAMB,COMB CE80-2L,BECH,BECH,5/25/76,11/25/87,1/8/88,4/21/11,11/25/47,3990,,88%,97%,89%,83%,97%,64%,,84%,75%,88%,,,,,
"Peach Bottom Atomic Power Station, Unit 2",Peach Bottom 2,05000277,"Delta, PA (17.9 MI S of Lancaster,  PA)",1,"Exelon Generation Co., LLC",BWR-MARK 1,GE 4,BECH,BECH,1/31/68,10/25/73,7/5/74,5/7/03,8/8/33,3514,,88%,101%,92%,102%,89%,101%,,98%,91%,95%,,,,,
"Peach Bottom Atomic Power Station, Unit 3",Peach Bottom 3,05000278,"Delta, PA (17.9 MI S of Lancaster,  PA)",1,"Exelon Generation Co., LLC",BWR-MARK 1,GE 4,BECH,BECH,1/31/68,7/2/74,12/23/74,5/7/03,7/2/34,3514,,103%,90%,100%,89%,99%,93%,,91%,102%,91%,,,,,
"Perry Nuclear Power Plant, Unit 1",Perry 1,05000440,"Perry, OH (35 MI NE of Cleveland,  OH)",3,First Energy Nuclear Operating Co.,BWR-MARK 3,GE 6,GIL,KAIS,5/3/77,11/13/86,11/18/87,N/A,3/18/26,3758,,92%,79%,98%,67%,98%,75%,,71%,94%,79%,,,,,
Pilgrim Nuclear Power Station,Pilgrim 1,0'5000293,"Plymouth, MA (38 MI SE of Boston, MA)",1,"Entergy Nuclear Operations, Inc.",BWR-MARK 1,GE 3,BECH,BECH,8/26/68,6/8/72,12/1/72,5/29/12,6/8/32,2028,,98%,85%,99%,90%,97%,85%,,91%,99%,83%,,,,,
"Point Beach Nuclear Plant, Unit 1",Point Beach 1,05000266,"Two Rivers, WI (13 MI NNW of Manitowoc,  WI)",3,"NextEra Energy Point Beach, LLC",PWR-DRYAMB,WEST 2LP,BECH,BECH,7/19/67,10/5/70,12/21/70,12/22/05,10/5/30,1800,,100%,79%,88%,98%,87%,85%,,81%,81%,97%,,,,,
"Point Beach Nuclear Plant, Unit 2",Point Beach 2,05000301,"Two Rivers, WI (13 MI NNW of Manitowoc,  WI)",3,"NextEra Energy Point Beach, LLC",PWR-DRYAMB,WEST 2LP,BECH,BECH,7/25/68,3/8/73,10/1/72,12/22/05,3/8/33,1800,AEC issued a provisional OL on 11/18/1971. The NRC issued a full-term OL on 03/08/1973.,89%,67%,96%,84%,89%,99%,,72%,97%,83%,,,,,
"Prairie Island Nuclear Generating Plant, Unit 1",Prairie Island 1,05000282,"Welch, MN (28 MI SE of Minneapolis,  MN)",3,Northern States Power Co. Minnesota ,PWR-DRYAMB,WEST 2LP,FLUR,NSP,6/25/68,4/5/74,12/16/73,6/27/11,8/9/33,1677,AEC issued a provisional OL on 08/09/1973. The NRC issued a full-term OL on 04/05/1974.,81%,91%,96%,97%,84%,92%,,99%,79%,101%,,,,,
"Prairie Island Nuclear Generating Plant, Unit 2",Prairie Island 2,05000306,"Welch, MN (28 MI SE of Minneapolis,  MN)",3,Northern States Power Co. Minnesota ,PWR-DRYAMB,WEST 2LP,FLUR,NSP,6/25/68,10/29/74,12/21/74,6/27/11,10/29/34,1677,,74%,99%,86%,75%,85%,93%,,84%,102%,93%,,,,,
"Quad Cities Nuclear Power Station, Unit 1",Quad Cities 1,05000254,"Cordova, IL (20 MI NE of Moline,  IL)",3,"Exelon Generation Co., LLC",BWR-MARK 1,GE 3,S&L,UE&C,2/15/67,12/14/72,2/18/73,10/28/04,12/14/32,2957,,102%,92%,99%,82%,96%,92%,,83%,85%,90%,,,,,
"Quad Cities Nuclear Power Station, Unit 2",Quad Cities 2,05000265,"Cordova, IL (20 MI NE of Moline,  IL)",3,"Exelon Generation Co., LLC",BWR-MARK 1,GE 3,S&L,UE&C,2/15/67,12/14/72,3/10/73,10/28/04,12/14/32,2957,,92%,104%,92%,91%,86%,99%,,93%,81%,92%,,,,,
"River Bend Station, Unit 1",River Bend 1,05000458,"St. Francisville, LA (24 MI NNW of Baton Rouge,  LA)",4,"Entergy Nuclear Operations, Inc.",BWR-MARK 3,GE 6,S&W,S&W,3/25/77,11/20/85,6/16/86,N/A,8/29/25,3091,,91%,90%,98%,113%,82%,85%,,93%,87%,89%,,,,,
R.E. Ginna Nuclear Power Plant,Ginna,05000244,"Ontario, NY (20 MI NE of Rochester,  NY)",1,"R.E. Ginna Nuclear Power Plant, LLC",PWR-DRYAMB,WEST 2LP,GIL,BECH,4/25/66,9/19/69,7/1/70,5/19/04,9/18/29,1775,,90%,84%,97%,91%,109%,113%,,92%,99%,89%,,,,,
"St. Lucie Plant, Unit 1",Saint Lucie 1,05000335,"Jensen Beach, FL (10 MI SE of Ft. Pierce,  FL)",2,Florida Power & Light Co.,PWR-DRYAMB,CE,EBSO,EBSO,7/1/70,3/1/76,12/21/76,10/2/03,3/1/36,3020,,72%,85%,72%,100%,91%,85%,,83%,86%,102%,,,,,
"St. Lucie Plant, Unit 2",Saint Lucie 2,05000389,"Jensen Beach, FL (10 MI SE of Ft. Pierce,  FL)",2,Florida Power & Light Co.,PWR-DRYAMB,CE,EBSO,EBSO,5/2/77,6/10/83,8/8/83,10/2/03,4/6/43,3020,,68%,66%,100%,80%,99%,70%,,86%,92%,80%,,,,,
"Salem Nuclear Generating Station, Unit 1",Salem 1,05000272,"Hancocks Bridge, NJ (18 MI SE of Wilmington,  DE)",1,"PSEG Nuclear, LLC",PWR-DRYAMB,WEST 4LP,PUBS,UE&C,9/25/68,12/1/76,6/30/77,6/30/11,8/13/36,3459,,97%,86%,85%,99%,91%,89%,,92%,72%,94%,,,,,
"Salem Nuclear Generating Station, Unit 2",Salem 2,05000311,"Hancocks Bridge, NJ (18 MI SE of Wilmington,  DE)",1,"PSEG Nuclear, LLC",PWR-DRYAMB,WEST 4LP,PUBS,UE&C,9/25/68,5/20/81,10/13/81,6/30/11,4/18/40,3459,,88%,89%,98%,93%,83%,98%,,90%,88%,82%,,,,,
"Seabrook Station, Unit 1",Seabrook 1,05000443,"Seabrook, NH (13 MI S of Portsmouth,  NH)",1,"NextEra Energy Seabrook, LLC",PWR-DRYAMB,WEST 4LP,UE&C,UE&C,7/7/76,3/15/90,8/19/90,N/A,3/15/30,3648,,75%,77%,100%,81%,89%,99%,,89%,100%,91%,,,,,
"Sequoyah Nuclear Plant, Unit 1",Sequoyah 1,05000327,"Soddy-Daisy, TN (16 MI NE of Chattanooga,  TN)",2,Tenessee Valley Authority ,PWR-ICECND,WEST 4LP,TVA,TVA,5/27/70,9/17/80,7/1/81,N/A,9/17/20,3455,,89%,98%,84%,89%,101%,87%,,100%,92%,73%,,,,,
"Sequoyah Nuclear Plant, Unit 2",Sequoyah 2,05000328,"Soddy-Daisy, TN (16 MI NE of Chattanooga,  TN)",2,Tenessee Valley Authority ,PWR-ICECND,WEST 4LP,TVA,TVA,5/27/70,9/15/81,6/1/82,N/A,9/15/21,3455,,77%,89%,97%,89%,89%,100%,,90%,96%,84%,,,,,
"Shearon Harris Nuclear Power Plant, Unit 1",Shearon Harris 1,05000400,"New Hill, NC (20 MI SW of Raleigh,  NC)",2,Carolina Power & Light Co.,PWR-DRYAMB,WEST 3LP,EBSO,DANI,1/27/78,10/24/86,5/2/87,12/17/08,10/24/46,2900,,90%,103%,90%,94%,99%,94%,,101%,89%,92%,,,,,
"South Texas Project, Unit 1",South Texas 1,05000498,"Bay City, TX (90 MI SW of Houston, TX)",4,STP Nuclear Operating Co.,PWR-DRYAMB,WEST 4LP,BECH,EBSO,12/22/75,3/22/88,8/25/88,N/A,8/20/27,3853,,93%,94%,101%,90%,95%,105%,,88%,99%,61%,,,,,
"South Texas Project, Unit 2",South Texas 2,05000499,"Bay City, TX (90 MI SW of Houston, TX)",4,STP Nuclear Operating Co.,PWR-DRYAMB,WEST 4LP,BECH,EBSO,12/22/75,3/28/89,6/19/89,N/A,12/15/28,3853,,72%,88%,88%,101%,95%,93%,,89%,92%,79%,,,,,
"Surry Nuclear Power Station, Unit 1",Surry 1,05000280,"Surry, VA (17 MI NW of Newport News,  VA)",2,Virginia Electric & Power Co.,PWR-DRYSUB,WEST 3LP,S&W,S&W,6/25/68,5/25/72,12/22/72,3/20/03,5/25/32,2857,,92%,101%,89%,94%,98%,89%,,96%,92%,76%,,,,,
"Surry Nuclear Power Station, Unit 2",Surry 2,05000281,"Surry, VA (17 MI NW of Newport News,  VA)",2,Virginia Electric & Power Co.,PWR-DRYSUB,WEST 3LP,S&W,S&W,6/25/68,1/29/73,5/1/73,3/20/03,1/29/33,2857,,91%,76%,100%,92%,94%,101%,,93%,101%,79%,,,,,
"Susquehanna Steam Electric Station, Unit 1",Susquehanna 2,05000388,"Salem Township, Luzerne Co., PA (70 MI NE of Harrisburg, PA)",1,"PPL Susquehanna, LLC",BWR-MARK 2,GE 4,BECH,BECH,11/3/73,7/17/82,6/8/83,11/24/09,7/17/42,3952,,70%,86%,80%,101%,89%,95%,,95%,80%,96%,,,,,
"Susquehanna Steam Electric Station, Unit 2",Susquehanna 1,05000387,"Salem Township, Luzerne Co., PA (70 MI NE of Harrisburg, PA)",1,"PPL Susquehanna, LLC",BWR-MARK 2,GE 4,BECH,BECH,11/3/73,3/23/84,2/12/85,11/24/09,3/23/44,3952,,83%,72%,96%,90%,100%,88%,,89%,100%,86%,,,,,
"Three Mile Island Nuclear Station, Unit 1",Three Mile Island 1,05000289,"Middletown, PA (10 MI SE of Harrisburg,  PA)",1,"Exelon Generation Co., LLC",PWR-DRYAMB,B&W LLP,GIL,UE&C,5/18/68,4/19/74,9/2/74,10/22/09,4/19/34,2568,,100%,92%,94%,86%,107%,97%,,98%,102%,90%,,,,,
"Turkey Point Nuclear Generating, Unit 3",Turkey Point 3,05000250,"Homestead, FL (20 MI S of Miami,  FL)",2,Florida Power & Light Co.,PWR-DRYAMB,WEST 3LP,BECH,BECH,4/27/67,7/19/72,12/14/72,6/6/02,7/19/32,2644,,40%,96%,88%,86%,101%,97%,,96%,78%,90%,,,,,
"Turkey Point Nuclear Generating, Unit 4",Turkey Point 4,05000251,"Homestead, FL (20 MI S of Miami,  FL)",2,Florida Power & Light Co.,PWR-DRYAMB,WEST 3LP,BECH,BECH,4/27/67,4/10/73,9/7/73,6/6/02,4/10/33,2644,,85%,84%,98%,99%,89%,86%,,89%,70%,,,,,,
"Vermont Yankee Nuclear Power Plant, Unit 1",Vermont Yankee,05000271,"Vernon, VT (5 MI S of Brattleboro,  VT)",1,"Entergy Nuclear Operations, Inc.",BWR-MARK 1,GE 4,EBSO,EBSO,12/11/67,3/21/72,11/30/72,3/21/11,3/21/32,1912,,92%,90%,88%,99%,89%,87%,,92%,87%,100%,,,,,
"Virgil C. Summer Nuclear Station, Unit 1",Summer,05000395,"Jenkinsville, SC (26 MI NW of Columbia,  SC)",2,South Carolina Electric & Gas Co.,PWR-DRYAMB,WEST 3LP,GIL,DANI,3/21/73,11/12/82,1/1/84,4/23/04,8/6/42,2900,,86%,88%,100%,81%,87%,85%,,88%,97%,87%,,,,,
"Vogtle Electric Generating Plant, Unit 1",Vogtle 1,05000424,"Waynesboro, GA (26 MI SE of Augusta,  GA)",2,Southern Nuclear Operating Co. ,PWR-DRYAMB,WEST 4LP,SBEC,GPC,6/28/74,3/16/87,6/1/87,6/3/09,1/16/47,3625.6,,91%,92%,102%,91%,93%,99%,,91%,100%,93%,,,,,
"Vogtle Electric Generating Plant, Unit 2",Vogtle 2,05000425',"Waynesboro, GA (26 MI SE of Augusta,  GA)",2,Southern Nuclear Operating Co. ,PWR-DRYAMB,WEST 4LP,SBEC,GPC,6/28/74,3/31/89,5/20/89,6/3/09,2/9/49,3625.6,,102%,94%,93%,101%,88%,83%,,85%,91%,97%,,,,,
"Waterford Steam Electric Station, Unit 3",Waterford 3,05000382,"Killona, LA (25 MI W of New Orleans,  LA)",4,"Entergy Operations, Inc.",PWR-DRYAMB,COMB CE,EBSO,EBSO,11/14/74,3/16/85,9/24/85,N/A,12/18/24,3716,,77%,82%,100%,87%,89%,98%,,78%,101%,89%,,,,,
"Watts Bar Nuclear Plant, Unit 1",Watts Bar 1,05000390,"Spring City, TN (60 MI SW of Knoxville,  TN)",2,Tenessee Valley Authority ,PWR-ICECND,WEST 4LP,TVA,TVA,1/23/73,2/7/96,5/27/96,N/A,11/9/35,3459,,87%,84%,99%,94%,82%,102%,,90%,100%,87%,,,,,
"Wolf Creek Generating Station, Unit 1",Wolf Creek 1,05000482,"Burlington (Coffey County), KS (28 MI SE of Emporia, KS)",4,Wolf Creek Nuclear Operating Corp.,PWR-DRYAMB,WEST 4LP,BECH,DANI,5/17/77,6/4/85,9/3/85,11/20/08,3/11/45,3565,"The original OL (NPF-32) was issued on March 11, 1985. This license was superseded by OL( NPF-42) issued on June 4, 1985.",80%,72%,86%,86%,83%,102%,,86%,99%,87%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,